               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038723,            0.061098,           0.0050142,             0.75751,             0.44771,             0.49915,              0.2859,            0.037245,            0.062274,           0.0043208,             0.00307,             0.00307,             0.00307
                  37,            0.038615,             0.06122,           0.0049655,             0.75643,             0.44895,             0.49966,             0.28613,             0.03722,            0.062242,           0.0043129,            0.002872,            0.002872,            0.002872
                  38,            0.038519,            0.060992,           0.0048846,             0.75805,             0.44846,             0.50046,             0.28665,            0.037195,            0.062212,           0.0043052,            0.002674,            0.002674,            0.002674
                  39,            0.038374,            0.060774,           0.0049255,             0.76069,             0.44778,             0.50147,             0.28708,            0.037169,            0.062179,           0.0042979,            0.002476,            0.002476,            0.002476
                  40,            0.038331,            0.060631,            0.004858,             0.76105,             0.44861,             0.50216,             0.28748,            0.037146,             0.06215,           0.0042913,            0.002278,            0.002278,            0.002278
                  41,            0.038198,            0.060526,           0.0048309,             0.75978,             0.44832,             0.50231,             0.28774,            0.037122,            0.062126,           0.0042847,             0.00208,             0.00208,             0.00208
                  42,            0.038051,             0.06044,           0.0047823,             0.75731,             0.44896,             0.50255,             0.28797,            0.037099,            0.062101,           0.0042777,            0.001882,            0.001882,            0.001882
                  43,            0.037977,            0.060204,           0.0047167,             0.75649,             0.45069,             0.50343,             0.28828,            0.037077,             0.06208,           0.0042723,            0.001684,            0.001684,            0.001684
                  44,            0.037847,             0.06004,           0.0046673,             0.75867,             0.45075,             0.50448,             0.28901,            0.037056,            0.062063,           0.0042676,            0.001486,            0.001486,            0.001486
                  45,            0.037695,            0.059849,           0.0045963,             0.76136,             0.45055,             0.50415,             0.28934,            0.037037,            0.062045,           0.0042638,            0.001288,            0.001288,            0.001288
                  46,            0.037553,            0.059627,           0.0045738,             0.76432,             0.45017,             0.50449,             0.28952,            0.037018,            0.062031,           0.0042606,             0.00109,             0.00109,             0.00109
                  47,            0.037493,            0.059661,           0.0045001,              0.7648,             0.44938,             0.50466,             0.28961,            0.036999,            0.062016,           0.0042591,            0.000892,            0.000892,            0.000892
                  48,            0.037339,            0.059313,           0.0044225,             0.76226,             0.45031,             0.50414,             0.28983,            0.036982,            0.062005,           0.0042585,            0.000694,            0.000694,            0.000694
                  49,             0.03721,            0.059013,           0.0043549,             0.76446,             0.44912,             0.50442,             0.29012,            0.036966,            0.061996,           0.0042586,            0.000496,            0.000496,            0.000496
